mTurkCode,suspectedBot,catch_2
273708,0,A crime is a conscious action taken by an individual that is against the law.
1706281,0,An act that is against the law. 
3816877,0,All things which violate the law
4319137,0,Crime is something bad that someone does.  It is something that is against the law.  It may cause harm to someone.
3970200,0,An act and individual makes that intrudes on another persons rights or property.
4211831,0,Crime is understood as any action or activity that is carried out without respecting the written and customary law / 
6816684,0,"A crime (or misdemeanor or felony) is an act done by a person which is against the laws of a country or region. A person who does this is called a criminal. ... Also, it can be a crime to have or sell contraband such as guns or illegal drugs."
4013451,0,"Something that diminishes the well being or health of another person, often in a threatening manner.  Theft, assault, murder, etc."
9822915,0,A person doing a bad thing
1213168,0,The act of a crime designates any wrongdoing upon another person either directly or indirectly for which the intentional actions brought forth immoral or destructive influence upon the victim by the perpetrator.
507784,0,Any action that directly causes destruction or harm to another individual. 
6765580,0,Crime is a violation of the set rules of law.
2419221,0,An action that our society's laws prohibit.
4882189,0,A wrong doing or something illegal committed by an individual or group.
4275182,0,"Crime is when a person commits a wrong against someone that results in monetary loss, injury, death, or other negative results."
5727103,1,"an action or activity that, although not illegal"
9341905,0,a crime is an act that is against a current existing law
1635474,0,crime means is include only illegal works.
2901191,0,A crime is anything that breaks the law and usually goes against the normal way that people behave in a society.
556964,0,Crime is something that is hurtful to society. Stealing and killing are hurtful to society and break the law. 
1059413,0,crime is that someone is doing wrong things and that is wrong denoted by laws
9438618,0,if your attitude hurts someone then it will be crime
2269247,0,Anything that goes against laws that are set.
1196442,0,A person has committed a wrongdoing that is against the law.
5744515,0,A wrongdoing against another person or institution that causes the recipient harm or loss. 
2171328,0,"An act against a person, business, or property that is illegal and immoral and/or causes harm or damage."
9912181,0,an action against the law
7134059,1,"a crime is an unlawful act punishable by a state or other authority. The term crime does not in modern criminal law, have any simple and universally accepted definition though statutory definitions have been provided for certain purposes."
4520824,0,It is a bad thing that someone does to someone or something.
9191656,0,An illegal activity that goes against the law.
4087248,1,over expectations
3425391,0,crime is an unlawful act punishable by a state or other authority
8540875,0,an act or ommission forbidden by law
7499052,0,Harming others in any way. 
7561713,0,an action that would be considered against the laws of rules of a society
9954469,1,crime
2970604,0,A Crime is an illegal action
4888066,0,A crime is when someone breaks a law.
1618051,1,A crime is an illegal activity for which a person can be punished by law. A crime is an offence that merits community condemnation and punishment.
4072739,0,"Something that has taken place that has both an offender and a victim, and something illegal has happened. "
7925127,0,Crime is a negative activity that one does that is against the law set by the state government. If one commits a crime it is punishable by jail time or a fine. 
1975951,0,"A crime is something that can be punished by a governing body; that is to say, whether I think something is right or wrong doesn't make something a crime, only what has been defined as wrong by the ruling body. Generally these are things that negatively impact other people under the same rule."
1558583,0,"Crime is something that is done to another person out of malice, with no regards for the other person's right to life or body."
8450183,1,"In common dialect, a wrongdoing is an unlawful demonstration deserving of a state or other specialist. The expression ""wrongdoing"" does not, in present day criminal law, have any straightforward and generally acknowledged definition, however statutory definitions have been accommodated sure purposes."
1832573,0,crime is anything that violates a law.
4408260,0,An action that is punishable by law. 
3051190,0,"When someone does something illegal. A crime is anything that a person does that can harm another person, or even things that don't necessarily harm other people but things that are illegal (harming an animal, trespassing on private property, etc)."
8808122,0,"A crime is something that is unlawful. It is something that goes against what is best for a community. It doesn't have to be violent to be a crime, but violence is the first thing I think of when it comes to crime. "
3185246,0,Something done outsides the confines of the law that could result in a ticket/jail time or worse.
275127,1,"One proposed definition is that a crime or offence is an act harmful not only to some individual but also to a community, society or the state."
7324796,0,Poverty and economic deprivation have been seen to be the number cause of crime in the country
7452054,0,A crime is when someone does something that goes against the laws that are supposed to be followed in that region. That means they break the rules that were established by the sector governing that area. 
6024036,0,crime is a physically activity
7235474,0,An action that goes against the law
5153889,0,crime is very bad bahavior 
3458756,0,Breaking laws
3911681,0,human emotional mistake is crime
559116,0,Anything that defies the law
7927828,0,Something that is illegal.
9026013,1,An action or omission that constitutes an offense that may be prosecuted by the state and is punishable.
2985713,1,crime
3538998,1,an action or omission that constitutes an offense that may be prosecuted by the state and is punishable by law.
2664374,0,A harmful act against someone or their property.
841163,1,nice
2160292,1,a crime is an unlawful act punishable by a state or other authority The term crime does not in modern criminal law have any simple and universally accepted definition though statutory definitions have been provided for certain purposes.
9923642,0,A crime is breaking the law and that you can be punished for your actions.
2396896,0,its a hurt to another happy...
2865182,0,illegal activities.
1141876,0,I believe crime is the act of something negative towards a person or their property. 
6909585,0,Something illegal perpetrated by someone against someone else.
7936505,0,When you invade on somebody's personal space or property whether it is stealing or harming an innocent person
